model,use_rag,scope,label,f1,precision,recall,BLEU,ROUGE1_F1,ROUGEL_F1,BERTScore_F1
codellama:13b,True,overall,ALL,0.014223088290547841,0.01379174133780182,0.02180851063829787,0.0053278152547557535,0.12367630480681219,0.08474779937099508,0.8214198350906372
codellama:13b,True,subcategory,"""functional""",0.0,0.0,0.0,,,,
codellama:13b,True,subcategory,"""solution approach""",0.0,0.0,0.0,,,,
codellama:13b,True,subcategory,'code organization',0.0,0.0,0.0,,,,
codellama:13b,True,subcategory,'deprecated code',0.0,0.0,0.0,,,,
codellama:13b,True,subcategory,'functional',0.0,0.0,0.0,,,,
codellama:13b,True,subcategory,'functional'.,0.0,0.0,0.0,,,,
codellama:13b,True,subcategory,'logical',0.0,0.0,0.0,,,,
codellama:13b,True,subcategory,'logical'.,0.0,0.0,0.0,,,,
codellama:13b,True,subcategory,'resource',0.0,0.0,0.0,,,,
codellama:13b,True,subcategory,"'resource', 'timing'",0.0,0.0,0.0,,,,
codellama:13b,True,subcategory,'solution approach',0.0,0.0,0.0,,,,
codellama:13b,True,subcategory,'validation',0.0,0.0,0.0,,,,
codellama:13b,True,subcategory,** 'functional',0.0,0.0,0.0,,,,
codellama:13b,True,subcategory,** 'interface',0.0,0.0,0.0,,,,
codellama:13b,True,subcategory,** <one of the 17 subcategories>,0.0,0.0,0.0,,,,
codellama:13b,True,subcategory,** code organization,0.0,0.0,0.0,,,,
codellama:13b,True,subcategory,** functional,0.0,0.0,0.0,,,,
codellama:13b,True,subcategory,** logging,0.0,0.0,0.0,,,,
codellama:13b,True,subcategory,** resource,0.0,0.0,0.0,,,,
codellama:13b,True,subcategory,`functional`,0.0,0.0,0.0,,,,
codellama:13b,True,subcategory,`functional`.,0.0,0.0,0.0,,,,
codellama:13b,True,subcategory,alternate output,0.0,0.0,0.0,0.004624766906647649,0.15039705207931037,0.1011172499859456,0.8446752429008484
codellama:13b,True,subcategory,code organization,0.15873015873015872,0.11627906976744186,0.25,0.004686366110451099,0.15466688800121314,0.11326671448054684,0.8212901949882507
codellama:13b,True,subcategory,design discussion,0.0,0.0,0.0,0.004762015345333987,0.12970961392014022,0.10154324479982374,0.8381503224372864
codellama:13b,True,subcategory,documentation,0.06896551724137931,0.2,0.041666666666666664,0.00605507432042211,0.11432653282311529,0.07440246814597457,0.824718713760376
codellama:13b,True,subcategory,false positive,0.0,0.0,0.0,0.0025483242539464587,0.06631452318460193,0.04584208223972003,0.8126929402351379
codellama:13b,True,subcategory,function,0.0,0.0,0.0,,,,
codellama:13b,True,subcategory,functional,0.0,0.0,0.0,0.006159905789318918,0.13222208259087048,0.09291503360640213,0.8304286003112793
codellama:13b,True,subcategory,functional.,0.0,0.0,0.0,,,,
codellama:13b,True,subcategory,functionality,0.0,0.0,0.0,,,,
codellama:13b,True,subcategory,indentation,0.0,0.0,0.0,,,,
codellama:13b,True,subcategory,interface,0.0,0.0,0.0,0.005079682358198154,0.10466673953362196,0.0722284388894879,0.8250821828842163
codellama:13b,True,subcategory,logical,0.0,0.0,0.0,0.004197280030533271,0.16506618243132562,0.10691438382871102,0.8322292566299438
codellama:13b,True,subcategory,praise,0.0,0.0,0.0,0.00615037402732817,0.043344882753128526,0.03061946651894036,0.8008173108100891
codellama:13b,True,subcategory,question,0.0,0.0,0.0,0.0036393480653489066,0.09345506243014047,0.0673503099016247,0.8162147998809814
codellama:13b,True,subcategory,resource,0.3157894736842105,0.21428571428571427,0.6,0.004766738686344118,0.11274095469747643,0.08119662945749903,0.8439527750015259
codellama:13b,True,subcategory,solution approach,0.0,0.0,0.0,0.008516764094876788,0.15879778601890673,0.10761991834963572,0.8225446343421936
codellama:13b,True,subcategory,support issues,0.0,0.0,0.0,0.004595379130543586,0.13122877472352287,0.07873022152411874,0.8160862922668457
codellama:13b,True,subcategory,syntax error,0.0,0.0,0.0,,,,
codellama:13b,True,subcategory,syntax sugar,0.0,0.0,0.0,,,,
codellama:13b,True,subcategory,technical,0.0,0.0,0.0,,,,
codellama:13b,True,subcategory,timing,0.0,0.0,0.0,0.011221396358887284,0.21099726493029208,0.11221236903533256,0.8103126287460327
codellama:13b,True,subcategory,unknown,0.0,0.0,0.0,,,,
codellama:13b,True,subcategory,unused code,0.0,0.0,0.0,,,,
